Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
216,0.5740741,18,6,1
297,0.5997354,16,4,1
291,0.5794973,18,5,1
88,0.5757936,14,4,12
214,0.5838624,19,6,1
296,0.5903439,16,6,1
258,0.5744709,9,3,1
198,0.5976191,19,6,1
175,0.5982804,18,7,1
320,0.6219577,19,6,7
205,0.5820106,17,5,1
414,0.5892857,12,4,1
382,0.5891534,8,6,1
307,0.5895503,13,5,1
307,0.6212963,6,4,1
291,0.5940476,8,1,1
292,0.6079365,14,3,1
249,0.5994709,12,6,1
223,0.6054233,14,4,1
282,0.5753968,7,5,1
