Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
224,0.5513439,18,9,1
152,0.5519483,19,13,1
203,0.5447853,18,8,1
198,0.5589056,19,10,1
214,0.5568609,14,8,14
164,0.5696245,14,8,1
132,0.5808771,18,11,13
246,0.5529771,20,8,1
249,0.5586677,18,9,1
181,0.555054,12,10,15
129,0.5447466,19,13,1
114,0.5500515,18,12,1
92,0.5548739,19,11,17
178,0.5439172,11,10,1
227,0.5639532,16,9,1
246,0.5705954,20,9,1
80,0.5384002,19,12,1
172,0.5648598,18,11,7
238,0.5513439,15,6,9
13,0.5356996,19,13,2
