Linearity,Explorability,Challenge,Average all,Average LC
0.1388889,0.5972222,0.2920635,0.342724867,0.2154762
0.1944444,0.625,0.4,0.406481467,0.2972222
0.1666667,0.5972222,0.3289683,0.364285733,0.2478175
0.25,0.5972222,0.3079365,0.3850529,0.27896825
0.25,0.7361111,0.2579365,0.414682533,0.25396825
0.1944444,0.6666667,0.3007936,0.387301567,0.247619
0.2777778,0.625,0.3202381,0.407671967,0.29900795
0.1944444,0.6111111,0.2789682,0.3615079,0.2367063
0.2222222,0.625,0.3686508,0.405291,0.2954365
0.1944444,0.6527778,0.2436508,0.363624333,0.2190476
0.1666667,0.6111111,0.2904762,0.356084667,0.22857145
0.1666667,0.625,0.2936508,0.3617725,0.23015875
0.1944444,0.625,0.2297619,0.349735433,0.21210315
0.2777778,0.6944444,0.2777778,0.416666667,0.2777778
0.1666667,0.6527778,0.3805556,0.400000033,0.27361115
0.2222222,0.6388889,0.3373016,0.3994709,0.2797619
0.25,0.625,0.4126984,0.4292328,0.3313492
0.1666667,0.5972222,0.3876984,0.383862433,0.27718255
0.1666667,0.625,0.2496032,0.347089967,0.20813495
0.1944444,0.5138889,0.4634921,0.390608467,0.32896825
0.1666667,0.5972222,0.3123016,0.358730167,0.23948415
0.2222222,0.6944444,0.3376984,0.418121667,0.2799603
0.1944444,0.6805556,0.4222222,0.4324074,0.3083333
0.1944444,0.6666667,0.2896825,0.383597867,0.24206345
0.1666667,0.6666667,0.3888889,0.407407433,0.2777778
0.1944444,0.6111111,0.2555556,0.3537037,0.225
0.3055556,0.7777778,0.2496032,0.4443122,0.2775794
0.3333333,0.7083333,0.2698413,0.4371693,0.3015873
0.1666667,0.625,0.3936508,0.395105833,0.28015875
0.1944444,0.6388889,0.3714286,0.4015873,0.2829365
0.1944444,0.6805556,0.2579365,0.3776455,0.22619045
0.1388889,0.5833333,0.3436508,0.355291,0.24126985
0.1666667,0.6527778,0.2912698,0.3702381,0.22896825
0.2222222,0.6111111,0.2468254,0.3600529,0.2345238
0.25,0.6805556,0.3154762,0.415343933,0.2827381
0.1666667,0.6527778,0.3007936,0.3734127,0.23373015
0.1944444,0.625,0.3265873,0.382010567,0.26051585
0.1944444,0.5416667,0.3888889,0.375,0.29166665
0.2222222,0.6666667,0.3313492,0.406746033,0.2767857
0.1944444,0.6527778,0.2924603,0.379894167,0.24345235
0.2222222,0.6805556,0.293254,0.398677267,0.2577381
0.1944444,0.6388889,0.2337302,0.355687833,0.2140873
0.1666667,0.5416667,0.3436508,0.3506614,0.25515875
0.1944444,0.6805556,0.3202381,0.3984127,0.25734125
0.1944444,0.6666667,0.2884921,0.383201067,0.24146825
0.1388889,0.6666667,0.3365079,0.380687833,0.2376984
0.25,0.6388889,0.3527778,0.4138889,0.3013889
0.1944444,0.6666667,0.3079365,0.389682533,0.25119045
0.1944444,0.6666667,0.2206349,0.360582,0.20753965
0.1944444,0.6805556,0.2825397,0.385846567,0.23849205
