Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
203,0.5871693,14,5,1
157,0.5760582,15,6,8
144,0.5739418,15,9,1
200,0.5801587,9,5,1
160,0.5779101,12,5,1
170,0.5900794,12,5,1
164,0.5738095,15,6,1
222,0.5969577,10,2,1
89,0.6099206,13,6,1
191,0.6003968,9,6,7
204,0.6,9,5,4
66,0.5820106,11,8,1
188,0.5910053,9,4,1
177,0.572619,14,2,1
155,0.5890211,13,5,1
138,0.6,11,7,7
247,0.5837302,10,4,1
155,0.585582,14,5,1
166,0.5765873,14,6,1
180,0.5763227,15,4,1
