Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
1,0.5579365,14,5,7
1,0.5560846,10,5,5
1,0.5318783,15,15,3
0,0.5753968,13,15,2
0,0.5767196,8,15,2
3,0.5650794,13,4,13
0,0.5386243,8,4,8
0,0.596164,9,4,2
2,0.5533069,14,15,1
0,0.557672,12,15,2
1,0.5693122,5,11,2
1,0.5595238,6,5,8
0,0.5396826,9,5,5
2,0.5753968,5,4,1
3,0.5449736,13,10,4
1,0.533201,1,13,2
0,0.5798942,4,13,10
0,0.5734127,8,13,5
0,0.5546296,10,13,3
0,0.5518519,5,13,3
