Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
274,0.5925926,10,4,3
267,0.5843915,11,5,1
242,0.5886244,10,3,1
263,0.5834656,13,3,1
230,0.587963,9,7,1
206,0.5896825,12,4,1
256,0.5982804,13,5,1
233,0.6416667,10,4,5
198,0.6156085,12,6,1
319,0.5940476,11,3,1
196,0.5829365,11,6,1
251,0.5736772,10,5,1
260,0.5842593,14,5,5
199,0.5832011,14,6,1
290,0.5974868,7,4,1
211,0.6046296,8,5,1
283,0.601455,14,4,1
231,0.5843915,14,5,1
189,0.6018518,8,6,1
199,0.5784392,12,5,1
