Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual
345,0.5588716,16,7
395,0.553328,16,9
386,0.5639008,17,8
314,0.5620729,14,9
503,0.581441,17,8
594,0.5607271,18,4
446,0.5662799,13,6
403,0.5662524,19,7
408,0.5602449,17,8
545,0.5545819,12,8
374,0.5635931,14,8
290,0.5670791,18,11
506,0.562206,12,8
650,0.5591196,11,5
414,0.5856298,14,3
425,0.5656094,20,9
447,0.5745333,17,9
355,0.5537046,19,10
438,0.5572411,16,9
431,0.5822448,17,8
