Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
485,0.5574074,0.7286932,20,2
467,0.525463,0.8003472,17,2
584,0.5743055,0.8289474,1,1
503,0.6010031,0.8302802,1,1
518,0.5356482,0.8329327,1,1
515,0.56875,0.8275241,4,2
513,0.5340278,0.8362713,2,2
569,0.512037,0.8341518,3,3
561,0.5537037,0.8301542,1,1
522,0.5074074,0.8358939,4,3
525,0.5347222,0.8303571,11,2
578,0.5594907,0.8284785,7,1
572,0.5622685,0.8365075,2,2
489,0.5469908,0.83925,2,2
549,0.5601852,0.8372445,1,1
519,0.5875,0.8333694,2,2
501,0.5564815,0.8313698,4,1
531,0.5261574,0.8358907,3,1
535,0.6587191,0.8341072,2,2
544,0.5377315,0.8355438,7,1
