Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
175,0.5201609,0.3065,17,11
58,0.5189487,0.7116666,15,15
109,0.5091751,0.8371875,12,12
160,0.5004209,0.8390002,11,11
120,0.5130696,0.8202856,10,10
168,0.5116667,0.8239131,11,11
131,0.5088945,0.8168968,11,11
104,0.524119,0.8344698,12,12
184,0.5143359,0.8301335,10,10
56,0.5153217,0.8435464,11,11
115,0.5136307,0.8295411,13,13
135,0.5369454,0.8292304,11,11
61,0.5176861,0.8249996,10,10
177,0.5327572,0.83552,12,12
180,0.5050168,0.828918,9,9
132,0.5075084,0.8245889,12,12
170,0.5123681,0.8374516,10,10
0,0,0,10,10
150,0.5222989,0.8243969,10,10
195,0.5128058,0.8245766,10,10
