Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
30,0.5542787,0.6546053,20,9
86,0.564948,0.721875,20,7
188,0.5620407,0.7069693,20,9
178,0.5737205,0.7458526,20,9
209,0.5533464,0.7762097,20,5
184,0.5492404,0.7898437,20,8
315,0.5685259,0.7853827,20,6
202,0.5507973,0.7962891,20,7
138,0.5478441,0.7951053,20,9
157,0.5482207,0.8205959,20,7
176,0.5398525,0.7871888,20,10
232,0.5621923,0.7968426,20,7
215,0.5439907,0.8200378,20,8
182,0.5691229,0.8160971,20,9
174,0.535875,0.805609,20,11
225,0.5747401,0.8195732,20,9
176,0.5569242,0.8233624,20,9
276,0.5677083,0.8151546,20,7
79,0.5714883,0.8171137,20,12
144,0.55511,0.8132832,20,7
