Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
1,0.542284,0.7673684,16,16
6,0.5596682,0.804186,20,11
1,0.5312654,0.8102127,4,4
4,0.5503858,0.8132353,18,5
1,0.5401157,0.8285147,20,20
3,0.5505556,0.8292306,17,14
1,0.565625,0.8277271,9,9
0,0.5364969,0.8325465,9,9
0,0.5194136,0.8312046,9,9
1,0.5283951,0.8327956,19,19
0,0.5531713,0.8300002,19,19
0,0.5410185,0.8354732,19,19
2,0.5471914,0.8363712,12,5
0,0.5580787,0.8357712,12,5
2,0.5462037,0.8374037,5,2
3,0.5521219,0.8366237,9,2
1,0.5446219,0.8357893,12,12
2,0.5469136,0.8375977,15,3
4,0.5705324,0.8367898,18,14
1,0.5312654,0.8363826,4,4
