Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
190,0.5448971,19,8,11
35,0.5463954,15,16,2
185,0.552514,15,11,1
82,0.5378563,20,12,1
85,0.5513599,13,11,2
38,0.5436625,20,11,1
60,0.53948,20,12,1
33,0.5443808,18,13,3
134,0.5478376,13,13,1
113,0.540896,20,11,1
183,0.53948,16,11,1
118,0.5414945,13,11,1
162,0.5511972,19,11,1
119,0.5391657,16,14,3
84,0.5384942,19,13,1
175,0.544076,15,10,1
159,0.5446278,17,10,19
13,0.5507763,20,13,2
153,0.5506434,16,10,15
123,0.5588309,12,12,16
